epoch,acc,loss,val_acc,val_loss
0,0.464788734703,1.50792183675,0.655462202906,1.01396815884
1,0.862676055499,0.418056755419,0.781512603372,0.645827855049
2,0.929577466468,0.19579573259,0.703081238504,1.06449671386
3,0.95845071027,0.119913352562,0.87114845905,0.446843760688
4,0.984507048634,0.0573251374381,0.865546223496,0.527278244662
5,0.998591550639,0.0104094825187,0.899159658022,0.400303232653
6,0.978873240276,0.0685772978091,0.834733906747,0.74950823096
0,0.469014082156,1.33099657297,0.638655456842,0.932754511593
1,0.783098582651,0.669705084092,0.820728290482,0.511438805349
2,0.876056341218,0.376342680463,0.848739487951,0.452032853993
3,0.91338029126,0.268806635704,0.871148474243,0.415975116548
4,0.94718310195,0.176797832087,0.910364147328,0.265120767412
5,0.969718312713,0.122009414602,0.876750712802,0.403802457143
6,0.96549296547,0.0939667644635,0.887955168716,0.332434734543
7,0.985915496316,0.0529779105801,0.812324915947,0.669240682566
8,0.980985925231,0.0569398780157,0.93837537101,0.183282713304
