epoch,acc,loss,val_acc,val_loss
0,0.249986005486,12.0734076363,0.249999999273,12.0885714944
0,0.251105575669,4.90294911713,0.249999999022,4.98618576925
0,0.862488804372,0.381984225245,0.878918495511,0.33093124873
1,0.906026087571,0.268229982116,0.870689656787,0.334913272776
2,0.918047472678,0.231510680523,0.913513213289,0.242970474046
3,0.928459473318,0.20261220471,0.917319749723,0.245583281487
4,0.936870242127,0.178552809577,0.919950743147,0.23558121857
5,0.945546911688,0.154976248652,0.912505599505,0.262794208012
6,0.952894090795,0.132851725278,0.913681147534,0.259706581746
7,0.9622005195,0.10842101485,0.917151814317,0.267662606522
8,0.970373385178,0.0855271680009,0.911889834824,0.329403398292
9,0.978294344561,0.063546225667,0.912841472546,0.353552263836
0,0.864769929098,0.441962331498,0.899014778499,0.340061417755
1,0.906305980089,0.300753519233,0.909370801692,0.288122815809
2,0.919334976788,0.249188674307,0.912561576728,0.26467873436
3,0.928739365065,0.21624752362,0.920790419296,0.237827270884
4,0.936114533218,0.191060169597,0.914520826353,0.251329216949
5,0.944049486139,0.168860806799,0.921909989875,0.243366166557
6,0.952124386028,0.147668777168,0.919390956917,0.245383872436
7,0.959121699721,0.126970159144,0.920454544867,0.256167377508
8,0.966230973641,0.10750515358,0.918775194237,0.271757903017
0,0.840433272889,2.29889851115,0.884796239245,0.842485481175
1,0.883620691694,0.663230257997,0.893472906417,0.541049669389
2,0.895068294983,0.477276771213,0.88194133681,0.475540150142
3,0.903367108526,0.398632742759,0.89212942393,0.412720001473
4,0.909132894464,0.354885881643,0.892745185608,0.39334920036
5,0.912603562095,0.32987596791,0.900078369959,0.358432121368
6,0.916955889299,0.30845350167,0.904724587054,0.344061560258
7,0.921042321958,0.292108561965,0.909090912,0.329954657575
8,0.924554973937,0.278632573101,0.895376174694,0.361991800752
9,0.926570199737,0.267042911095,0.907915361089,0.321224904196
10,0.929061241748,0.259687861206,0.909090912121,0.3125072412
11,0.930922526801,0.250805282337,0.91440886901,0.299203001358
12,0.932965742337,0.242737533284,0.90942678332,0.310233185269
13,0.93481303308,0.23651678884,0.90410882376,0.318446579807
14,0.936590351458,0.230169506795,0.907971340594,0.316425039525
15,0.938185738415,0.224394760222,0.905396329025,0.330071056581
16,0.939865092996,0.219854559569,0.903045230418,0.336735465754
0,0.837578369254,2.3547105252,0.878694581935,0.889452064232
1,0.885733878124,0.683145762613,0.871137485115,0.610789268395
2,0.896621696938,0.492542847275,0.898566952226,0.450196295683
3,0.904486678698,0.41304108922,0.893193013883,0.431273336861
4,0.9100145564,0.369484274744,0.890506045959,0.422491610604
5,0.91362516963,0.34067093246,0.901589792857,0.374427431226
6,0.918411331441,0.321231042784,0.901925661841,0.358069193664
7,0.920538515583,0.306542983433,0.880933724027,0.418064425828
8,0.923491380215,0.292746834115,0.908363191138,0.336224437494
9,0.92626231783,0.281537068198,0.893976712141,0.371176707427
10,0.928613414718,0.27118295678,0.906739813727,0.329739860256
11,0.931160435491,0.26438224318,0.905620243322,0.334778705161
12,0.93282579696,0.258010281409,0.908475149708,0.326393918504
13,0.934435179204,0.251422327702,0.911609944345,0.31494307817
14,0.93569469526,0.246036318893,0.909874609979,0.315653342598
15,0.93755598057,0.239739259765,0.908363189523,0.328413419179
16,0.938409652803,0.235383463544,0.905452307582,0.337600010004
17,0.940396889727,0.229843470094,0.905844156792,0.322224796356
18,0.941628417118,0.224959520106,0.910546352003,0.313439650422
19,0.942356137897,0.222221410081,0.90925884758,0.316575060901
20,0.943531685205,0.217485429018,0.911274071865,0.307719737275
21,0.943783589241,0.214809254782,0.90953873922,0.317628559297
22,0.946204659177,0.210010899131,0.911889836546,0.312902815787
23,0.946442567743,0.206521629235,0.911497987336,0.315999895813
24,0.947254256115,0.203095352076,0.908755038573,0.323019766515
25,0.948583745758,0.20041836716,0.911945814556,0.315735945451
